1,elboruum,bodypositive,"Age: 205
Height: 5'5
Wings: None","A lot of people think a vampire should be skin n bones... but I want you to throw all that Edward + Bella crap out the window. I've got a lot more for you to love, and I've been this way since 1810!! Looking for someone who can embrace my eternal unchanging bod in all its glory.","You catch a glimpse of a befanged hottie whose eyes hold the wisdom of centuries. They've got their phone out. 'It's a body positivity thing,' they say. 'I just won't go see something that promotes an unhealthy understanding of what a vampire can be.'","hey how's it going this is the player
hey this is the monster youre messaging
player indication of interest
monster indication of disinterest
player probing
monster rejects","player tentatively says something positive
monster responds positively
player says another thing
monster is enthusiastic
player asks if monster wants to go out
monster says yes"
2,oldsoul,p_tradvamp,"Age: 549
Height: 6'7
Weight: 75 lbs","If you're looking for a guy with old-school charisma, I AM THAT GUY. I am as old-school as it gets. I literally sleep in an actual coffin, still, and it is the one I was buried in at the old cathedral in Ravenna. I'm looking for someone who shares my interests (shopping, Latin bibles, monastic chorus performances) and can get along with my bats. If you're a hottie with //refined traditional style,// hit me up. I'll treat you right.",,"hey how's it going this is the player
hey this is the monster youre messaging
player indication of interest
monster indication of disinterest
player probing
monster rejects","player tentatively says something positive
monster responds positively
player says another thing
monster is enthusiastic
player asks if monster wants to go out
monster says yes"
10,OuroBorosBaby,ouroboros,"Age: 26
Height: 6'2
Length: 12'11","Looking for someone who can handle all of me, all the time :) ;) :D Here are some of my favorite movies so you can know for sure what kind of person I am and if we'd get along! The Land Before Time 2 - Descent(2005) - SuperBad - Pokemon The Movie 2000","An enormous Naga comes slithering out of the bus. Slithering, slithering, slithering... for, like, a whole minute. DAMN! What a BODY!","hey how's it going this is the player
hey this is the monster youre messaging
player indication of interest
monster indication of disinterest
player probing
monster rejects","player tentatively says something positive
monster responds positively
player says another thing
monster is enthusiastic
player asks if monster wants to go out
monster says yes"
13,678racecar876,clones,"Age: 31
Height: 5'7
Brains: 2 (1 each)","Okay, to put it all on the table: we are Hannah and Anna and yes we are CLONES, we were grown in a TANK, we are exactly the same, and we will both date you. This is customary on our planet (Reggillon 5) and though we've lived on earth for decades we still do things our way. ;) Looking for someone who can enjoy each and both of us to the fullest extent of their sentient souls.","You see a pair of identical beauties with pearlescent, vaguely-luminous skin and wide, inky eyes descend the steps of the bus and alight upon the sidewalk. Your jaw drops open. It's like looking at a pair of movie stars from, like, another planet. Damn. How are they so identical, anyway?","hey how's it going this is the player
hey this is the monster youre messaging
player indication of interest
monster indication of disinterest
player probing
monster rejects","player tentatively says something positive
monster responds positively
player says another thing
monster is enthusiastic
player asks if monster wants to go out
monster says yes"
16,c̛̬̥̠͍̯o̠̖̝̥͔̺͝ó͍̦l̦͖̺̙͎f̶̳̭͎r̖͞i̷̮͕ͅe̫͚͕̜͖̭͞n̲̗͈͢d̻̘b̟̲̪͝e͍̪̭̝s̛̮͎̲̬͖t͉̫͠f̲̮ŕ̲i̛̗̟̱e̴̪̫̪̭̺n͇͉̘d͚̦̼̞͓͠,coolfriendbestfriend,"Age: 549
Height: y̢̘͔͔̮͖͕͉̱͟è̺̟̯͚̤͕̲͉͕͜͢a̯̥͚̖͍̳͈̰͖ ͞҉̛̭̤͚̞͔͉̮͍̠u̪̟ǹ̵̟̣t͈̗̲̮̀o̵̼ ̲̼̀t̢̞͈͉̘h̵̦̯͕̖͓̕e̵͈̳̥̳ ͕̜̪͕͕̗̕ͅh̸̕͏͕̝͙̲ḛ̷͈͚͕̖͈͖́͠a͎̪v̧̻̠̖̝͓͝͝e̸̯͞͠n͕͔͜s̩͚̗̞̬̦̠͡
x̡̡͌͗͂͆ͣ̅̕͏̗͍̞͍̫̝̯̼͔̞̜̘̯̯ĉͩ́̐̄ͦ͊̽̈́̆͗̒ͦͫͥ͘͜҉͖̥̺͙̥͇p͖̙̻̥ͮ̍͑͐̄͂ͮͧ̍̄̽̚͢ͅͅ0̠͇͖ͪͣ͒̑̉͒ͩ͂̀͘͡͝͡3̴̈̎̎̉҉̣̥̜̳̞̪̜b̡̻͇͓͓͚̟͙̙̤̠̦̠̟͇̔ͪͥ̾ͥ̄͌ͧͤ̀̏͑̐͆́͢͞͡ͅb̨͚̭̼̱̰̩͎͈͕͍͓̼̙͋̎̇ͧ͑́ͦ̉ͨ̈̀̾̑̓ͩ̀̚͠7̵̶̼̪͍̲͓̥̭̼̫̺̩̬̩͎̍̔̇̅͗ͦͣ̂ͅ1̨͚̦̜̱̻̠̣̾̿̾̊͊̃̾͊̀̈́̆̆ͮ͠:̛̙̤̣̟̝̥̪̠̫̲̼̽͌̾͛͆̀ͣ͊͛͑͊̎͆̀̓̔ͬ̕͜ ̝̹̘̞̜͔͛̅̎̍ͧ̔̉̒ͮ̒ͯ͐͗̇̆́̕͘͜ő̸̷̜̟͓͇͊̌͘r̸̟͎̖̭̠ͣ̓̀̇ͤ̓̊͋̓̏͜͜u̸̡̧̳̳̜̤͇̩̠̜̪̘̹̣̝̝͓̭̜ͭ̆̉̐ͪ̀ͦͤ̈́͝8̨̭̰̮ͮ͌̒̓ͥ͊͒͊̍̎͘ͅv̧̝̠͉̩̥͇̟͔̗͋̃ͪͭ̉̓ͬ̆͂ͣ̑́̀͜ą̌̀̈͌͒̍͐͐̎ͪ̇̀͟͠͏͉̝̺̼̘̙̝̪̘̟̲̮̟͉̙͇̭̲̬g̣̣̞̘̥̙͕̭̫̅͗̇̀ͬͫ͋ͣͫ̔̌̍̅̽͜͠ͅͅņ̴̰̱̼̫̰̤̖̪̜̳̞̿̋̈́̇̂̽ͦͮ̓ͥ͐̀̾͊̈́ͅ0̆͌̃̈ͬ̚͏̸͖̟̝̞͍̬͓̝̲͉̮̜̩͇̻͓͖͟ͅm̸̸̧͖̱͎̝̲̠̤̬̬̣̝͖͇̿ͭ͗ͭ̃ͨ͒͌̑̽̔ͤ̚͝e͖͍̼̮̜̖͉̗͇̰̭͈̝ͧͬ͗̔̋ͮͥͨ̈́̾̈̽͌͠͡n̷̢̧̠̘̹̰̱͉̪̲̰͍̻͓̳͈ͪ͗̈́͛ͪ̉̆́̿ͬ͗ͦ̈́ͤ́̚͝
",L̆͗͋҉̷̜̫̪͚͇ọ̧̼͊̽̽͜ơ͇͓̪̹͊̌̌͂ͭ̃ͤ̀͠k̶̛͕̱̋̃̌̄ͦ͐͡i͚͔̭̬̤̠͈ͪ̉ͤͨͪ̏͟͠n̔ͯͯ̿̚҉̜͉͇g͛ͩ̐͊ͬ̓̐͏̷̝̪̜ ̦̃̽͛ͤ̍ͧ͛̚f̡̦̜̼͕̦͎̒̋̀ͪ̆̅ͧơ̄ͧ̃ͨ̈́̃͛͏͎͈̜̣̰ȓ̭̳̹̙͎̪̳͚̞̋̆̅̀ ̨͈̦̳̜̮̊ͨͯ̌̿ͩ̑́a̭͖̗̩̖̠͓̾̐̿̌ͤ̈̈̉̉ͅ ͖̼̯̯̻̼̫̤̓͐̂ͥ̉ͧ̉͋s̱̪̓̆͜w̶̻ͤ̑ͦ̃ͩͭͧë̼̪͎͇̐e̢̙͉̩̬̝̳̬ͩͦt̨̠̤͚̣͛̒͗̎͆̾͘ ̯͚͔̱̺͔͈̎ͮͦͯ̄ͭ́ͣ̎ͅc̽̌̂ͭ̈͛̓ͫ̔͏̫̗̕͢y͚ͩ̆̍ͥ̿̈ͭ̀͜͝c̷̼͒͑̂͂͢͠l̳̲̣̱̣ͧͬ͌̀ͨ̀ͣo̷ͤ̈́́͛ͮ̀͐̂ͣ͏͇̣̖̜̘p̸̬̩̩͕̲͖̟̋̌͌e̟̬̫̹͒͐ͯ̂͑̓͑̄̕ǎ͋̽̃̋̚҉̵̢͉̗̫̼ň̵͇̰̩͑ͪ͟ͅ ̢̝̹͙̣̦̥̩̹ͫ͌̅͂ͧͅḥ̱̑ͮ̍̍̔͟ͅu̷̻͒͛͂͞nͬͨ͟҉̲̘̠̤̳n̜̘̝̰̟̭̼͙̼̿͊͗ͥ̒̔͠y̞̙̲͚̬ͮ͛̋ ̤͍͔̪̖̱̖̊͒ͪ̀͜t̲̪ͮ͜͝o̦̻̺̱͇̦̪͙̐̂̎̽̂̚ ͌̔ͥ҉̶̝̩̜̦ͅs̵̛̟̗̻̫͎̦̜ͪͮ̿͐h͔̫̍̅̂͂͒͟͡ą̠̰͍̹͇͇͕͓͐̏͆̒ͫr̛̘̙̒̏͆̓ͣ̆͛̒͜e̴̢̧̻̹̺ͭ ̴̘̭͈̱ͤ͂̃̆̇ͣ͟͞m̷̜̝̭̤̼̰͓̱͐̊ẏ͎̻͗ͯ̈ͪͧ͘ ̏̅҉̸̹͈̝́e̢̖̹̲̤̬͇̫͗n̪̩̯̱̥̿̓̽̅ͨ̿̑̚dͫ̒ͪ͗̎̕͏̩͓̤͈̼̜̖l̢̛̺͎̬͕̘͈̳̱̙ͤe̖̠̙̣̠͙̰̮̭ͣ͊̅ͭͨs̢̘͗ͧͤ͠s̞̠̼ͬ͑ͭ̒̐͐ͩͧ ̠̻̗̼̠̙̤͋̑̑̿ͯ̐͊́y̵̷̻̱̲͇̭͉͗̎̃e̫̭ͪͨ̕ḁ̮̹͕͈̮̮̍̄̍͐̚̚͜͞ͅͅṟ͖̝̜̬͓̻̔̊͛ͦͩ̾ͥś̷͈͕̃ͨ͐͑́ͦ͠ ̝͍̣͕̞͈̲͔̻ͨ̓͆ͨ͟wͪ̔ͤ͞͏̷̳̱̣̬̤i̛̲̟̥̘̱̦͚͓̓̏͗͒t̢̨̜̩͙͓̞͔ͨ̊̄̍́ḧ̨̧̹͙́ͥ̎̍.̵̡̪̬̜̯͎͕̟̂̽ͫ̓̐͞ ̛̤̔̐̂ͦͭ̉͢͠S̜̜̥͔̗̼̙ͯ̎̏̀ͬe͕̲̞͉͙̒̅͛̂ͯ͊ͯ̕͟ͅr̹̎ͅͅĭ̫͚͉͇̯̮ͨͣ̎̈ͥͦͥơ̸̟͒ͣu͉̰͖̻̺̳͖͇̾ͦ̀͘͡s̢̳͔̪̱̯̞̟̖̽ ̸̡̩͙͚̣̦̝̩̬̺̂̆ͭ̿͂̈͆iͮ̓͑̓ͮ̃҉̱̤̱͙n͎͖̟͔̪͔̦̈͗͢q̧̖̺̙̹ͩͭ͒͛̀̍ͦ̀u̧̬͐̂ͣ̏̿ͦͩ̈̇ỉ̸͉̝̺̝̱̠̋ͤ̒ͯ̿r̳̘͂ͮi̴̱̳̱̤͙̪͒̏̒͂̚e̱̭̦͇̞ͧ̒͌ͨs̫̯ͮ̈̈́͆͐̀͘ ̨̢͖̺̟͆͋ͩͥͬͫ͐ͣ̚ơ̪͓̙̒̈̏̍ͫ͐̇ͩn͓͎̦̝̞͉͈̈̽̄̾̉ͮ̒͢͜͞l̦͉̉̀͌ͥͤ̓̀y̢͓͈̰̗̯̯͓̯ͣ͞ ̮͇͈̟̼͙̙̀̑̂ͦ̅ͭ͠p͓̦̗̹͈̖̃̎ͧͮ͂͆͢͞l̴̡̡̲̝͇̖̯̹̬͇ͮ̈́ͩ̽ͤͤͩ̄ͭͅe̷͕͍̳͓̙̮͔̐̌͂̓a̧̩̝͙̞̫͚̩̺̿ͯ͜s̽͗͋ͬͯͣ̑̇҉̫̠̺͈̕ḛ̸̷͇̗ͦ̋̎͢.̴̩̪́̅͜͝ ̳̆́ͅG̰̼̳͓̓͂ͤͥ̉ͯ͌̚͡͠ṉ̲̘͖̗͗̊͐͆̓͋ͦ͜o̗͍̖̙͇ͨ̿͋͒̓ͩy̨̗̯͈͙̆́̂͂ͨ͡o̖͔̼̒͗̀ͩ̄̑͂́t̲̫̥͇̀͒ͯͬ͆̀͞h̡ͣ͑̓̐̒̿͏̞̱̼͙͚̥a̙̪̘̩̗̪̹ͤ ̵̹̥̭͚͕̗̙̳̬̂ͧ͐w̱̘ͪ͘͝o̩̣͉͈̜͉̞͖͑̍̔̾̕͜͠r̶̷̲̤͊̓͒̽̂̚s̰͎̭ͣͯͨ̃͌h͕̫̻̗̪͑͌͛̍ͨͦ̿͘i̡̨͍̮̪͓̹̬̣̥ͯ̄͆͟p̵͙͓̏ͅp̫͎͍ͧ͋̉͜ȩ͈̝̳̣̱̹ͩ̏̐͛̃ͮͅr̷̞̗̝͈͒̾̇̾s͍̰̥̪̔ ̶̰̲̝̻͍̍ͩͦͮ̒͜g̛̱̭̯̝̒͊̎̉̐ͪͫͤ̀e̞̭̭̊ͭ͂̒̄ͩͧ̎̀͠͠t͚̖̯̪̣̩̆ͫ͂͒̏̅ͯ́͜ ̯̟͚̈́́͡a̳̯ͭ͗͊̿ͣ́͢n̏̈́͐̒ͭ͝͏̙̮͇̲̮̦͖͓ ̵̖͈͔͆̏͋̕e̺̬͓̩̪̥͓̽̋̂ͮ̅̑̚x̨̗͈̭̼̥̲͆t̡̪̗̬̮̳̆ͤ̃͗̄r̙͚̟̫̫̝͇̒͗ͬͪͦ̀͟ă̶̺͖͉̱ͦͭ̆ͨ̾̂̿̍͜͞ ̛̛̖͌̂̎ͣ̒ͣ1̩̜̎̈́̍̿̀͛̅ͩ0̢̧̛̻̪̘͚͍̮͒̐ͨ͋̃ͬͣ͋ͅ ̠̪͙̜͗̀̾ͧ̀̉̚͠͞h̸̰̟̄͒ͧ̿ͪͥͫ͢ȍ̟͙͎͇̫͉ͬ̃̈́̅͌̓̂͗́͘ť̫̞̰͖̱̥̓͒͗͡ͅn̶̠̮̊͛͐̀͜e̶̸͎̯̠̺̯͌̈̾ͨ͗̃̀ͥsͤ̓̐͆͏̸̬͙̬̦ͅs̰̙͓̫͌̎ͥͩ͗ͅͅͅ ̷̹̜̥ͮ̎ͯ̇͞p̃̊ͮ̌̀͒̔ͯ̕͏̘̭͖͕̰̭͈ö̷̡̥̣̭̙̞̺ͯͯi̵̖̪̤̣͉̱͇̼͗̎̋͂ͧ́͜n̶̳̝̬̐ͥ̕t͕̯͇͐ͩͬ́́ͯs͈̝̾͒̓̎̐̆ͪ ,"Something emerges from the bus. Something. Something. Its overwhelming power drowns your mind like a leaf in a pool of endlessly swirling darkness. And that darkness is smoking hot. The sexy kind of hot AND the temperature kind of hot. Wow. As it receeds down the street, you feel aeons of wisdom draining away from your helpless mortal mind and know, beyond a doubt, that this was the sexiest being you have ever encountered.","hey how's it going this is the player
hey this is the monster youre messaging
player indication of interest
monster indication of disinterest
player probing
monster rejects","player tentatively says something positive
monster responds positively
player says another thing
monster is enthusiastic
player asks if monster wants to go out
monster says yes"
18,00xMomOfMomsx00,00xmomofmomsx00,"Age: 1034
Height: 5'5
Eyes: Blue","My 100,000 demonic spawn are MY LIFE. It takes a lot to be the mom of the Innumerable Young of the Burning Wood and it is my biggest priority. I'm looking for someone strong and responsible who's just as eager to be a good role-model to a hundred thousand swarming children as they are to spend time with me. If you're serious about this kind of thing too, send me a message.","A goat-legged woman surrounded by innumerable swarming shadows disembarks. Her visage is remote and gorgeous, like a goddess carved from marble. Her legs are vast and hairy. Her swarming companions are ghostly as the shadows of the wood and sob softly with the voices of children. You've... you've never been more attracted to something in your life.","hey how's it going this is the player
hey this is the monster youre messaging
player indication of interest
monster indication of disinterest
player probing
monster rejects","player tentatively says something positive
monster responds positively
player says another thing
monster is enthusiastic
player asks if monster wants to go out
monster says yes"
20,officialovermind,DisemBodiedConciousness,"Age: ~17,000
Height: N/A, noncorporeal
Location: Today,Tomorrow,Always",How Can Mirrors Be Real If Our Eyes Aren't Real. 42 Networked Consciousnesses Looking For An Additional Mind To Add To The Mix. Most Trees Are Blue Once You Get To Know Them,"A disembodied consciousness disembarks, dispersing dismaying truths in every psychic direction. They are sweet and gorgeous truths and you engorge your brain on them in passionate mind-rapture. 'If Newborn Babies Could Speak They Would Be The Most Intelligent Beings On Planet Earth,' it whispers to you. Ahhh. True beauty!","hey how's it going this is the player
hey this is the monster youre messaging
player indication of interest
monster indication of disinterest
player probing
monster rejects","player tentatively says something positive
monster responds positively
player says another thing
monster is enthusiastic
player asks if monster wants to go out
monster says yes"
101,Chisako3,chisako3,"Age: 19
Height: 5'11
Number of Eyes: 3","I'm only interested in dating other people with 3-eyes. Please don't message me if you have 2-eyes, 1-eyes, or more than 3 eyes.","You catch a glimpse of a tall, fashionable, blue-skinned monster wearing an elegant scarf and 3 monocles. Wow... the azure shade of her legs is really turning you on. She's talking rapidly on her phone. 'Ew! SIX eyes? How many eyes would our CHILDREN have? Gross!' she says.","Hey
How many eyes
what
How many eyes? Your profile doesn't make it clear.
uh.. 2?
Look, I only date people with 3 eyes. Get lost.","Hey!
You're the cutie I saw at the bus stop!
That's me!
I guess we can just tape an extra eye to your forehead.
Um.. ok
We can date"
103,JeffMakesThrows,jeffmakesthrows,"Age: 36
Height: 6'9
Weight: 1400lbs","My name is Jeff, I'm a centaur. Um, that's pretty much it. I'm just a regular guy. Oh, I really like making artisinal throws, I make them out of my own beard hair. Message me and I'll tell you more about it!","You catch sight of a handsome centaur. You can tell he puts a lot of effort into beard maintenance, it's beautifully braided, with ribbons. Man, that's hot... He's on his phone 'I dunno, I'm starting to think that my artisinal centaur-hair throws are played out.' He looks like such a loveable bear! But as a centaur.","You're just here from Etsy, aren't you.
Here to mock my artisinal throws.
Well, I won't have it! Begone! No one knows the pain of an artist!","Hey, you're that cutie I saw at the bus stop!
I've been thinking of you...
I made this artisinal throw out of my own tail hair just for you."
104,-PiercingGayze-,p_medusa,"Age: 28
Height: 5'11
Hair Color: Snakes","not looking for a hookup
we can lie about how we met
IG: Gayzzzzzzzz

//manataur likes this
zebraface17 reblogged this
canfan28 has turned to stone
manlyjeff has turned to stone//","You catch a glimpse of a tall, statuesque medusa, and quickly avert your gaze. You admire her long, sensual tail in the window's reflection. Oh, baby...","Let's do a camchat.
I'll only camchat with you if you don't turn on your filter, hehehe...
Too scared, huh? That's right, look away! No one understands me!","Hey, you're that cutie I saw at the bus stop!
I'd like to wrap my tail around YOU!"
